g_name,color, grape_variety_id,vine_id
Chardonnay,Red,307,307
Cabernet Sauvignon,White,308,308
Cabernet Sauvignon,White,309,309
Chardonnay,Red,310,310
Chardonnay,Red,311,311
Merlot,White,312,312
Chardonnay,White,313,313
Cabernet Sauvignon,Red,314,314
Cabernet Sauvignon,White,315,315
Cabernet Sauvignon,White,316,316
Cabernet Sauvignon,White,317,317
Chardonnay,White,318,318
Merlot,White,319,319
Cabernet Sauvignon,Red,320,320
Merlot,White,321,321
Merlot,White,322,322
Cabernet Sauvignon,White,323,323
Cabernet Sauvignon,Red,324,324
Cabernet Sauvignon,White,325,325
Merlot,White,326,326
Cabernet Sauvignon,White,327,327
Chardonnay,White,328,328
Chardonnay,White,329,329
Chardonnay,White,330,330
Merlot,White,331,331
Cabernet Sauvignon,Red,332,332
Cabernet Sauvignon,White,333,333
Cabernet Sauvignon,Red,334,334
Cabernet Sauvignon,White,335,335
Merlot,White,336,336
Chardonnay,Red,337,337
Chardonnay,White,338,338
Cabernet Sauvignon,White,339,339
Merlot,Red,340,340
Cabernet Sauvignon,White,341,341
Merlot,Red,342,342
Chardonnay,White,343,343
Merlot,White,344,344
Cabernet Sauvignon,White,345,345
Chardonnay,Red,346,346
Cabernet Sauvignon,Red,347,347
Merlot,Red,348,348
Cabernet Sauvignon,Red,349,349
Cabernet Sauvignon,White,350,350
Merlot,Red,351,351
Cabernet Sauvignon,Red,352,352
Cabernet Sauvignon,White,353,353
Cabernet Sauvignon,White,354,354
Chardonnay,Red,355,355
Chardonnay,Red,356,356
Chardonnay,Red,357,357
Chardonnay,White,358,358
Chardonnay,Red,359,359
Cabernet Sauvignon,White,360,360
Chardonnay,White,361,361
Cabernet Sauvignon,Red,362,362
Cabernet Sauvignon,White,363,363
Merlot,White,364,364
Chardonnay,White,365,365
Cabernet Sauvignon,White,366,366
Merlot,White,367,367
Chardonnay,White,368,368
Cabernet Sauvignon,White,369,369
Chardonnay,Red,370,370
Merlot,White,371,371
Chardonnay,White,372,372
Merlot,Red,373,373
Chardonnay,Red,374,374
Cabernet Sauvignon,Red,375,375
Merlot,White,376,376
Cabernet Sauvignon,White,377,377
Chardonnay,White,378,378
Merlot,White,379,379
Cabernet Sauvignon,Red,380,380
Merlot,Red,381,381
Merlot,White,382,382
Cabernet Sauvignon,White,383,383
Chardonnay,Red,384,384
Merlot,Red,385,385
Chardonnay,White,386,386
Cabernet Sauvignon,White,387,387
Merlot,White,388,388
Merlot,White,389,389
Merlot,White,390,390
Cabernet Sauvignon,Red,391,391
Cabernet Sauvignon,Red,392,392
Cabernet Sauvignon,Red,393,393
Merlot,White,394,394
Merlot,White,395,395
Cabernet Sauvignon,Red,396,396
Merlot,White,397,397
Cabernet Sauvignon,White,398,398
Chardonnay,White,399,399
Merlot,White,400,400
Chardonnay,Red,401,401
Cabernet Sauvignon,Red,402,402
Cabernet Sauvignon,White,403,403
Cabernet Sauvignon,White,404,404
Cabernet Sauvignon,White,405,405
Chardonnay,White,406,406
Chardonnay,Red,407,407
Merlot,Red,408,408
Cabernet Sauvignon,Red,409,409
Chardonnay,Red,410,410
Chardonnay,Red,411,411
Merlot,Red,412,412
Cabernet Sauvignon,White,413,413
Merlot,Red,414,414
Chardonnay,White,415,415
Chardonnay,White,416,416
Merlot,Red,417,417
Chardonnay,White,418,418
Cabernet Sauvignon,White,419,419
Cabernet Sauvignon,White,420,420
Merlot,Red,421,421
Merlot,Red,422,422
Chardonnay,White,423,423
Merlot,Red,424,424
Cabernet Sauvignon,Red,425,425
Cabernet Sauvignon,Red,426,426
Chardonnay,Red,427,427
Cabernet Sauvignon,Red,428,428
Merlot,Red,429,429
Cabernet Sauvignon,Red,430,430
Cabernet Sauvignon,Red,431,431
Chardonnay,Red,432,432
Cabernet Sauvignon,White,433,433
Cabernet Sauvignon,White,434,434
Cabernet Sauvignon,White,435,435
Cabernet Sauvignon,Red,436,436
Merlot,Red,437,437
Chardonnay,White,438,438
Merlot,Red,439,439
Cabernet Sauvignon,Red,440,440
Merlot,White,441,441
Merlot,Red,442,442
Merlot,Red,443,443
Merlot,White,444,444
Merlot,White,445,445
Cabernet Sauvignon,White,446,446
Chardonnay,White,447,447
Cabernet Sauvignon,White,448,448
Merlot,Red,449,449
Chardonnay,White,450,450
Chardonnay,White,451,451
Cabernet Sauvignon,White,452,452
Cabernet Sauvignon,Red,453,453
Chardonnay,Red,454,454
Chardonnay,White,455,455
Cabernet Sauvignon,White,456,456
Chardonnay,White,457,457
Merlot,Red,458,458
Merlot,White,459,459
Merlot,White,460,460
Chardonnay,White,461,461
Cabernet Sauvignon,Red,462,462
Cabernet Sauvignon,White,463,463
Merlot,White,464,464
Cabernet Sauvignon,Red,465,465
Chardonnay,Red,466,466
Cabernet Sauvignon,Red,467,467
Merlot,White,468,468
Chardonnay,White,469,469
Merlot,White,470,470
Merlot,Red,471,471
Chardonnay,White,472,472
Chardonnay,White,473,473
Merlot,Red,474,474
Chardonnay,White,475,475
Merlot,Red,476,476
Chardonnay,Red,477,477
Cabernet Sauvignon,White,478,478
Cabernet Sauvignon,Red,479,479
Chardonnay,White,480,480
Cabernet Sauvignon,White,481,481
Chardonnay,Red,482,482
Chardonnay,Red,483,483
Chardonnay,White,484,484
Chardonnay,White,485,485
Chardonnay,White,486,486
Merlot,White,487,487
Merlot,White,488,488
Chardonnay,Red,489,489
Chardonnay,Red,490,490
Cabernet Sauvignon,Red,491,491
Cabernet Sauvignon,White,492,492
Cabernet Sauvignon,Red,493,493
Merlot,Red,494,494
Merlot,White,495,495
Cabernet Sauvignon,White,496,496
Merlot,Red,497,497
Merlot,White,498,498
Chardonnay,White,499,499
